Location ID,Name,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks,URL
Dropped pin,"Community garden 
State-people
Demarcated by signage and fence
Has a fridge 
Sitting area under sgelter
Also fish tank 
Locked
Seems exclusive to the nearby senior citizen corner
No cameras",State-people,Garden,No,Demarcated,,,,,,1.3743136,103.8534942,,"https://www.google.com/maps/search/1.3743136,103.8534942"
Dropped pin,"Senior citizen corner
State-people
Demarcated by signage and Low Walls
1 eight seater table
2 four seater tables (one Chinese chess table) 
Store room present 
One shuttered space only for members (exclusive policy)
Multiple foldable tables and stacks of plastic chairs 
Small garden found outside.
Radio and TV present 
Camera present ",State-people,Elderly Care,Yes,Demarcated,,,,,,1.3741426,103.8536676,,"https://www.google.com/maps/search/1.3741426,103.8536676"
Dropped pin,"Community garden
State-people
Demarcated by signage and fencing
Relatively organized
Has shelters with seating
Also is locked and has barb wire on the fence",State-people,Garden,No,Demarcated,,,,,,1.3758919,103.8501341,,"https://www.google.com/maps/search/1.3758919,103.8501341"
Dropped pin,"Resident lounge
State-provided
Demarcated by Low Walls
4 four seater tables (one Chinese chess table)
2 six seater tables 
One coffee table
3 three seater benches around coffee table
Camera present ",State-provided,Resident's Corner,Yes,Demarcated,,,,,,1.3725579,103.8487578,,"https://www.google.com/maps/search/1.3725579,103.8487578"
Dropped pin,"Residents corner
State-people
Demarcated by Low Walls
3 four seater tables
3 two seater metal benches
Multiple foldable tables
Stacks of plastic chairs
Storage area with gala poles
Cabinets(locked)
Toilet present
Washing sink present 
Unsure if TV is present
Very clean
Shuttered storage
Some Chinese ornaments are present 
No visible camera ",State-people,Resident's Corner,No,Demarcated,,,,,,1.3718731,103.8562224,,"https://www.google.com/maps/search/1.3718731,103.8562224"
Dropped pin,"Community garden 
State-people
Demarcated by single and fence
Locked
No cameras
No seating",State-people,Garden,No,Demarcated,,,,,,1.3699569,103.8561828,,"https://www.google.com/maps/search/1.3699569,103.8561828"
Dropped pin,"Study corner
State-provided
Demarcated by Low Walls
6 two seater tables
1 6 six seater table
No cameras",State-provided,Study Corner,No,Demarcated,,,,,,1.3707419,103.8527684,,"https://www.google.com/maps/search/1.3707419,103.8527684"
Dropped pin,"Resident lounge
State provided
Demarcated by Low Walls
1 four seater chess table
6 two seater benches
5 single seat bench
No cameras
",State-provided,Resident's Corner,No,Demarcated,,,,,,1.370154,103.8520566,,"https://www.google.com/maps/search/1.370154,103.8520566"
Dropped pin,"Community garden
State-people
Demarcated by signage and fencing
Relatively organized
Locked 
No cameras",State-people,Garden,No,Demarcated,,,,,,1.3680417,103.8521773,,"https://www.google.com/maps/search/1.3680417,103.8521773"
Dropped pin,"Community garden
State-people
Extended from the adjacent side
Locked
Demarcated by fence and signage",State-people,Garden,No,Demarcated,,,,,,1.3618133,103.8539479,,"https://www.google.com/maps/search/1.3618133,103.8539479"
Dropped pin,"Community garden
State-people
Demarcated by signage and fence
Normally locked
Relatively organized
No cameras
Seats found in tool shed
Has decorations and an aquarium inside",State-people,Garden,No,Demarcated,,,,,,1.3618392,103.8538513,,"https://www.google.com/maps/search/1.3618392,103.8538513"
Dropped pin,"Residents lounge
State-provided
Demarcated by signage
4 four seater tables
4 metal benches 
No cameras ",State-provided,Resident's Corner,No,Demarcated,,,,,,1.3615529,103.8540146,,"https://www.google.com/maps/search/1.3615529,103.8540146"
Dropped pin,"Void deck 
People generated
No demarcation
Table top 
1 six seater table 
4 three seater benches
Multiple plastic chairs stacked
Wooden table folded
No cameras",People-generated,Void Deck,No,Not demarcated,,,,,,1.3613072,103.854614,,"https://www.google.com/maps/search/1.3613072,103.854614"
Dropped pin,"Residents corner
State-people
Demarcated by Low Walls
2 seven seater tables 
3 seater tables, one Chinese chess, one English chess
4 fish tanks with running water and fishes
Cctv present towards the fishes (likely people stole fish before)
Face mask vending machine present 
Chinese decorations also present
Exercise equipment also present
Paintings also present",State-people,Resident's Corner,Yes,Demarcated,,,,,,1.3648715,103.8544156,,"https://www.google.com/maps/search/1.3648715,103.8544156"
Dropped pin,"Community garden
State-people
Demarcated by fence
Relatively organzied 
Locked
Seating in tool shed
No cameras ",State-people,Garden,No,Demarcated,,,,,,1.3656659,103.8535925,,"https://www.google.com/maps/search/1.3656659,103.8535925"
Dropped pin,"Senior citizen corner
Also has a study corner and community garden adjacent to it
Demarcated by Low Walls and signages 
State-provided
1 large 8 seater table 
1 four seater table in SCC
3 four seater tables in study corner
Wall benches all around
Toilet present
Community garden currently locked and under maintenance
Large metal cabinet that stores items on top and inside
Could have a TV, but cannot he seen
A shuttered area, could be a pantry 
No cameras
Chinese decorations hanging ",State-provided,Elderly Care,No,Demarcated,,,,,,1.366584,103.8538677,,"https://www.google.com/maps/search/1.366584,103.8538677"
Dropped pin,"Garden 
People-generated
Non demarcated
One section is fenced up and locked (bonsai plants)
Build along the walkways 
First floor residents
Relative organized
No seating
Camera present (police) ",People-generated,Garden,Yes,Not demarcated,,,,,,1.3668018,103.8567615,,"https://www.google.com/maps/search/1.3668018,103.8567615"
Dropped pin,"Senior citizen corner
State-people
Demarcated by signage and Low Walls
Comes with a community garden that is unlocked but fenced
Toilet present 
One eight seater table
1 chess table, 3 seater
Wall benches
Locked cabinets, could have TVs inside
Chinese decorations present in some areas
Store room present
No camera",State-people,Elderly Care,No,Demarcated,,,,,,1.3671491,103.8569871,,"https://www.google.com/maps/search/1.3671491,103.8569871"
Dropped pin,"Garden
People-generated
Along the walkway 
No demarcation 
No seating or cameras
Relatively organized",People-generated,Garden,No,Not demarcated,,,,,,1.3665159,103.8568363,,"https://www.google.com/maps/search/1.3665159,103.8568363"
Dropped pin,"Void deck
People-generated
No demarcation 
1 six seater table (state-provided)
2 metal benches (state-provides)
2 wooden and plastic chairs
Drawer cabinet filled with items
Water bottles placed in TOP of cabinet
Camera present 
More stackable chairs found in the adjacent void deck space with a sign that states the authorities allowing a certain amount of tables to be used o oh",People-generated,Void Deck,Yes,Not demarcated,,,,,,1.3655838,103.8563679,,"https://www.google.com/maps/search/1.3655838,103.8563679"
Dropped pin,"Garden
First floor unit
People generated
No demarcation
No seating
No cameras
Relatively disorganized ",People-generated,Garden,No,Not demarcated,,,,,,1.3652238,103.8561741,,"https://www.google.com/maps/search/1.3652238,103.8561741"
Dropped pin,"Community Garden
State-people
Demarcated by fence and signage
Locked
Organzied
Sitting under work shelter
No cameras ",State-people,Garden,No,Demarcated,,,,,,1.3643178,103.8570974,,"https://www.google.com/maps/search/1.3643178,103.8570974"
Dropped pin,"Void deck sitting area
State-people
No photo
2 tables five seater (probably space for wheelchair)
2 metal benches
2 additional chairs provided by residents
 No cameras
",State-people,Void Deck,No,Demarcated,,,,,,1.3634655,103.8565184,,"https://www.google.com/maps/search/1.3634655,103.8565184"
Dropped pin,"Void deck sitting area
State-people
No demarcation 
2 five seater tables (though it could fit 6, possibly for wheelchair)
2 metal benches
Two additional wooden chairs, chained to the chairs
No cameras",State-people,Void Deck,No,Demarcated,,,,,,1.3627224,103.8566713,,"https://www.google.com/maps/search/1.3627224,103.8566713"
