Location ID,Name,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks
HG-EC-05,,State-people,Elderly Care,Yes,Demarcated,Semi-clean,Fixed,16,Present,None,1.3698262,103.8840362,"Senior citizens corner
State-people
Demarcated by Low Walls
Cameras present
Wall fans and lights present
4 stone tables with crescent seating present 
Cabinetry present (locked) 
Pantry area, in grills,  with fish tank inside (in operation) and sink provided along with toilets
TV in locked cabinet
Relatively clean "
HG-EC-06,,State-people,Elderly Care,Yes,Demarcated,Semi-clean,Fixed,39,Present,Present,1.3711025,103.8871704,"Senior citizens corner
State provided
Demarcated by Low Walls 
Toilet present
Tv in cabinet locked
Lighting and fans provided 
All fixed furniture
4 five seater tables
3 benches with hand rails attached ( three seater) 
Chinese decorations
Mini pantry with sink and cabinets (locked) 
5 metal benches
Camera present
Relatively organised "
HG-EC-07,,State-provided,Elderly Care,Yes,Demarcated,Clean,None,0,Present,None,1.3755333,103.8908929,"State provided
Senior citizens corner
Demarcated by Low Walls and rails 
Shuttered TV
Camera present
No seating present (could be stacked and kept away) 
1 table
Toilet provided
Gambling may have occured at one period of time
Near a Coffeeshop and a lift landing (adjacent)
Clean "
HG-G-58,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.3693506,103.8803351,"Community Garden
State-people
Demarcated by fence
Behind dialysis center
No seating provided
No cameras
Relatively organzied"
HG-G-59,,State-people,Garden,No,Demarcated,Clean,Mobile,4,None,None,1.3709222,103.8809885,"Community garden
State-people
Demarcated by fence
Locked
Relatively organised
No camera
Stools used as seating"
HG-G-60,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.3707077,103.8822237,"Community garden
State-people
Demarcated by fence
Locked
Relatively organzied
No cameras "
HG-G-61,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,5,None,None,1.3698765,103.8817426,"People generated
First floor house
Garden present
Stacked plastics chairs are present and a stone bench
Relatively disorganized
No cameras
No demarcation "
HG-G-62,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,Present,1.3693814,103.883994,"People generated space
Garden with seating
Near first floor residents
Has fish tanks and aquatic plants
Relatively disorganzied
No demarcation 
Has ornaments
No cameras "
HG-G-63,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.3701486,103.8857542,"State-people
Community gardens 
Large plots
Demarcated via fencing 
Normally locked 
Cameras not present
Relatively organised "
HG-G-64,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,Present,1.3702911,103.8868713,"People generated space 
Garden holds a small space
Mostly filled with religious and cultural elements such as altars
Folded and stacked table and chairs
No demarcation 
No cameras
"
