Location ID,Name,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks,URL
AK-EC-04,,State-people,Elderly Care,No,Demarcated,Clean,Mixed,30,Present,Present,1.3723906,103.8376192,"Senior citizen corner
State-people
Large space
Demarcated by Low Walls and signages
Has toilet and TVs
Study corner incorporated
Multiple mixed furniture of tables and chairs
Chinese ornaments
Store room also present
Pantry present with washing sink 
Projector screen present with stereo system ","https://www.google.com/maps/search/1.3723906,103.8376192"
AK-EC-05,,State-people,Elderly Care,No,Demarcated,Clean,Mixed,18,None,Present,1.3705653,103.8574388,"Senior citizens corner
State-people
Demarcated Low Walls and signages
Multiple cabinets, both locked and unlocked
Washing points and toilet provided
Desk tables provided
Chinese decorations and calendars within 
2 5 seater tables 
2 4 seater tables 
Multiple plastic chairs
No cameras 
Coffeeshop utensils found within (from nearby Coffeeshop) ","https://www.google.com/maps/search/1.3705653,103.8574388"
AK-EC-06,,State-people,Elderly Care,No,Demarcated,Clean,Fixed,18,Present,None,1.3708039,103.8587483,"Senior citizen corner
State-people
Demarcated by Low Walls and signages
Has fridge 
Toilet present
2 5 seater tables
2 four seater tables
Multiple fish tanks
Cabinets present
Unsure if there is a TV present
Decorations around the space ","https://www.google.com/maps/search/1.3708039,103.8587483"
AK-G-12,,State-people,Garden,No,Demarcated,Clean,Mobile,4,None,None,1.3662837,103.8417676,"Community Garden
State-people
Demarcated by fence and signage
Locked
Relatively organzied 
Seating. Found under tentage ","https://www.google.com/maps/search/1.3662837,103.8417676"
AK-G-13,,State-people,Garden,No,Demarcated,Clean,Mobile,4,None,None,1.3658654,103.8402874,"Community Garden
State-people
Demarcated by fence and signage
Seating provided inside
No cameras
Locked","https://www.google.com/maps/search/1.3658654,103.8402874"
AK-G-14,,State-people,Garden,No,Demarcated,Clean,Mobile,4,None,None,1.3681607,103.837522,"Community Garden
State-people
Demarcated by fence and signage
Seating found under an umbrella
Locked
No cameras ","https://www.google.com/maps/search/1.3681607,103.837522"
AK-G-15,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.367426,103.8366184,"Community Garden
Demarcated by fence and signage
State-people
Locked
No seating
No cameras 
","https://www.google.com/maps/search/1.367426,103.8366184"
AK-G-16,,State-people,Garden,No,Demarcated,Semi-clean,None,0,None,None,1.3699217,103.8338018,"Community garden 
State-people
Demarcated by fence
Locked
Disorganized
No cameras","https://www.google.com/maps/search/1.3699217,103.8338018"
AK-G-17,,People-generated,Garden,No,Not demarcated,Clean,Mobile,10,None,Present,1.3716197,103.8359898,"Garden
People-generated
No demarcation 
No fencing
Organzied very well
Multiple furniture, roller chairs, wooden stools and plastic chairs in the space, near the shelter
No cameras
Hanging clothes as well","https://www.google.com/maps/search/1.3716197,103.8359898"
AK-G-18,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.3740511,103.8351224,"Community garden
State-people
Demarcated by fence and signage
Locked
No cameras
Organized 
No seating ","https://www.google.com/maps/search/1.3740511,103.8351224"
AK-G-19,,State-people,Garden,No,Demarcated,Semi-clean,None,0,None,None,1.3703601,103.8400372,"Community Garden
State-people
Demarcated by fence and signage
Relatively disorganized
No seating
No cameras
","https://www.google.com/maps/search/1.3703601,103.8400372"
AK-G-20,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.3721352,103.8413301,"Community garden
State-people
Locked
Demarcated by fence
Relatively organized ","https://www.google.com/maps/search/1.3721352,103.8413301"
AK-G-21,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3748767,103.8553111,"Garden
People generated
Besides playground
No demarcation or fencing
Has labels indicating which plant is which 
No seating or cameras
Relatively organized ","https://www.google.com/maps/search/1.3748767,103.8553111"
AK-G-22,,State-people,Garden,No,Not demarcated,Clean,None,0,None,None,1.3749792,103.8562623,"Community garden
State-people
Relatively disorganized
Demarcated by Fence
Seating inside
Mostly ladders, due to fruit bearing trees
No cameras ","https://www.google.com/maps/search/1.3749792,103.8562623"
AK-G-23,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3743313,103.8581143,"Garden
People generated
Built alongside vacated perimeter fence
No demarcation 
No cameras
No seating","https://www.google.com/maps/search/1.3743313,103.8581143"
AK-G-24,,State-people,Garden,No,Demarcated,Clean,None,0,None,Present,1.3719961,103.8569067,"Community garden
State-people
Demarcated by fence
Locked
No cameras
No seating
Kids equipment found within. 
CDs are hung from fence to ward away birds ","https://www.google.com/maps/search/1.3719961,103.8569067"
AK-G-24,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.371181,103.8582602,"Community Garden
State-people
Demarcated by signage and fencing
Locked
No cameras
No seating 
Relatively
Organized","https://www.google.com/maps/search/1.371181,103.8582602"
AK-G-25,,State-people,Garden,No,Demarcated,Clean,Mobile,4,None,None,1.3707174,103.8597843,"Community Garden
State-people
Demarcated by fencing
Locked
Relatively organized
Has chairs and tables within 
No cameras","https://www.google.com/maps/search/1.3707174,103.8597843"
AK-G-26,,State-people,Garden,No,Demarcated,Clean,Mobile,4,None,None,1.3693982,103.8576644,"Community Garden
State-people
Demarcated by fence and signage
Locked 
No cameras
Has seating in tool shed","https://www.google.com/maps/search/1.3693982,103.8576644"
AK-O-01,,People-generated,Outdoor,No,Not demarcated,Semi-clean,Mobile,5,None,None,1.3673479,103.8369259,"Outdoor
People generated
No demarcation 
Multiple chairs placed outdoors behind a coffee shop, could be a smoking corner too
No cameras ","https://www.google.com/maps/search/1.3673479,103.8369259"
